pt1min pt1max pt2min pt2max eta1min eta1max eta2min eta2max mumu_Data mumu_MC mumu_ratio ee_Data ee_MC ee_ratio emu_Data  emu_MC  emu_ratio
20  25  10 15  0    1.47   0    1.47              0.963  0.965  0.997        0.219  0.231  0.948                0.434  0.433  1.002
20  25  15 20  0    1.47   0    1.47              0.968  0.967  1.001        0.311  0.347  0.896                0.470  0.453  1.037
20  25  20 25  0    1.47   0    1.47              0.985  0.985  1.000        0.493  0.602  0.819                0.710  0.702  1.012
20  25  10 15  0    1.47   1.47 3.14              0.943  0.958  0.985        0.096  0.223  0.432                0.413  0.389  1.062
20  25  15 20  0    1.47   1.47 3.14              0.962  0.960  1.002        0.277  0.301  0.921                0.426  0.417  1.022
20  25  20 25  0    1.47   1.47 3.14              0.987  0.978  1.009        0.579  0.591  0.980                0.602  0.666  0.904
20  25  10 15  1.47 3.14   0    1.47              0.928  0.933  0.995        0.194  0.274  0.709                0.294  0.429  0.684
20  25  15 20  1.47 3.14   0    1.47              0.945  0.950  0.995        0.141  0.368  0.382                0.346  0.444  0.779
20  25  20 25  1.47 3.14   0    1.47              0.975  0.971  1.003        0.356  0.620  0.574                0.677  0.694  0.975
20  25  10 15  1.47 3.14   1.47 3.14              0.919  0.926  0.993        0.151  0.150  1.007                0.288  0.389  0.739
20  25  15 20  1.47 3.14   1.47 3.14              0.953  0.944  1.009        0.250  0.289  0.865                0.325  0.444  0.732
20  25  20 25  1.47 3.14   1.47 3.14              0.958  0.977  0.981        0.636  0.660  0.965                0.615  0.643  0.957
25  30  10 15  0    1.47   0    1.47              0.965  0.977  0.987        0.688  0.776  0.886                0.902  0.919  0.981
25  30  15 20  0    1.47   0    1.47              0.976  0.981  0.994        0.833  0.888  0.938                0.899  0.925  0.972
25  30  20 25  0    1.47   0    1.47              0.991  0.992  0.999        0.843  0.902  0.935                0.942  0.956  0.986
25  30  25 30  0    1.47   0    1.47              0.998  0.997  1.001        0.922  0.950  0.970                0.979  0.984  0.994
25  30  10 15  0    1.47   1.47 3.14              0.971  0.975  0.996        0.583  0.802  0.728                0.897  0.904  0.992
25  30  15 20  0    1.47   1.47 3.14              0.979  0.976  1.003        0.838  0.897  0.935                0.910  0.898  1.013
25  30  20 25  0    1.47   1.47 3.14              0.997  0.987  1.009        0.824  0.910  0.905                0.938  0.937  1.002
25  30  25 30  0    1.47   1.47 3.14              1.000  0.993  1.007        0.980  0.948  1.035                0.983  0.965  1.019
25  30  10 15  1.47 3.14   0    1.47              0.951  0.955  0.996        0.614  0.749  0.819                0.807  0.883  0.914
25  30  15 20  1.47 3.14   0    1.47              0.980  0.961  1.020        0.730  0.907  0.805                0.842  0.893  0.943
25  30  20 25  1.47 3.14   0    1.47              0.974  0.983  0.991        0.832  0.915  0.909                0.894  0.901  0.992
25  30  25 30  1.47 3.14   0    1.47              1.000  0.994  1.006        0.854  0.950  0.899                0.961  0.955  1.006
25  30  10 15  1.47 3.14   1.47 3.14              0.931  0.958  0.972        0.636  0.661  0.963                0.806  0.858  0.939
25  30  15 20  1.47 3.14   1.47 3.14              0.988  0.961  1.028        0.818  0.827  0.989                0.824  0.887  0.929
25  30  20 25  1.47 3.14   1.47 3.14              0.975  0.979  0.996        0.833  0.921  0.904                0.784  0.911  0.860
25  30  25 30  1.47 3.14   1.47 3.14              0.959  0.989  0.970        1.000  0.956  1.046                1.000  0.945  1.058
30  50  10 15  0    1.47   0    1.47              0.978  0.978  0.999        0.864  0.892  0.969                0.932  0.943  0.989
30  50  15 20  0    1.47   0    1.47              0.974  0.979  0.995        0.922  0.941  0.979                0.951  0.946  1.005
30  50  20 25  0    1.47   0    1.47              0.988  0.991  0.997        0.923  0.946  0.976                0.961  0.965  0.995
30  50  25 30  0    1.47   0    1.47              0.997  0.997  1.000        0.958  0.972  0.985                0.986  0.988  0.998
30  50  30 50  0    1.47   0    1.47              0.998  0.998  1.000        0.976  0.986  0.990                0.991  0.991  0.999
30  50  10 15  0    1.47   1.47 3.14              0.961  0.976  0.984        0.778  0.897  0.868                0.919  0.932  0.985
30  50  15 20  0    1.47   1.47 3.14              0.993  0.973  1.021        0.917  0.940  0.976                0.942  0.931  1.012
30  50  20 25  0    1.47   1.47 3.14              0.992  0.987  1.005        0.925  0.947  0.977                0.961  0.959  1.003
30  50  25 30  0    1.47   1.47 3.14              0.992  0.994  0.998        0.969  0.968  1.000                0.976  0.977  1.000
30  50  30 50  0    1.47   1.47 3.14              0.994  0.996  0.999        0.984  0.985  0.999                0.986  0.986  1.000
30  50  10 15  1.47 3.14   0    1.47              0.946  0.961  0.985        0.725  0.882  0.822                0.891  0.921  0.968
30  50  15 20  1.47 3.14   0    1.47              0.964  0.963  1.001        0.879  0.948  0.927                0.911  0.921  0.989
30  50  20 25  1.47 3.14   0    1.47              0.979  0.983  0.996        0.927  0.949  0.976                0.928  0.930  0.998
30  50  25 30  1.47 3.14   0    1.47              0.995  0.994  1.001        0.942  0.970  0.971                0.967  0.973  0.993
30  50  30 50  1.47 3.14   0    1.47              0.995  0.995  0.999        0.972  0.985  0.987                0.976  0.981  0.995
30  50  10 15  1.47 3.14   1.47 3.14              0.955  0.960  0.994        0.750  0.842  0.891                0.836  0.907  0.922
30  50  15 20  1.47 3.14   1.47 3.14              0.949  0.960  0.989        0.911  0.934  0.975                0.931  0.912  1.021
30  50  20 25  1.47 3.14   1.47 3.14              0.990  0.975  1.015        0.855  0.944  0.906                0.907  0.926  0.980
30  50  25 30  1.47 3.14   1.47 3.14              0.995  0.989  1.005        0.871  0.969  0.898                0.963  0.952  1.011
30  50  30 50  1.47 3.14   1.47 3.14              0.979  0.992  0.987        0.978  0.987  0.991                0.959  0.973  0.986
50  10000 10  15   0  1.47 0    1.47              0.958  0.971  0.987        0.940  0.961  0.978                0.956  0.963  0.993
50  10000 15  20   0  1.47 0    1.47              0.960  0.973  0.987        0.961  0.975  0.985                0.957  0.959  0.998
50  10000 20  25   0  1.47 0    1.47              0.979  0.988  0.991        0.967  0.976  0.991                0.970  0.968  1.003
50  10000 25  30   0  1.47 0    1.47              0.995  0.997  0.998        0.979  0.985  0.993                0.988  0.982  1.006
50  10000 30  50   0  1.47 0    1.47              0.996  0.998  0.998        0.983  0.990  0.994                0.992  0.984  1.008
50  10000 50  10000  0  1.47  0  1.47             0.996  0.996  1.001        0.976  0.838  1.164                0.996  0.990  1.006
50  10000 10  15   0  1.47    1.47  3.14          0.956  0.970  0.986        0.937  0.954  0.983                0.962  0.960  1.001
50  10000 15  20   0  1.47    1.47  3.14          0.962  0.972  0.990        0.960  0.974  0.985                0.964  0.961  1.003
50  10000 20  25   0  1.47    1.47  3.14          0.979  0.986  0.993        0.963  0.975  0.988                0.963  0.972  0.991
50  10000 25  30   0  1.47    1.47  3.14          0.991  0.995  0.996        0.984  0.985  0.999                0.975  0.981  0.993
50  10000 30  50   0  1.47    1.47  3.14          0.993  0.996  0.997        0.990  0.991  0.999                0.986  0.989  0.998
50  10000 50  10000  0  1.47  1.47  3.14          0.992  0.995  0.997        0.990  0.970  1.021                0.991  0.992  0.999
50  10000 10  15   1.47  3.14  0    1.47          0.947  0.961  0.985        0.903  0.945  0.955                0.937  0.933  1.005
50  10000 15  20   1.47  3.14  0    1.47          0.953  0.963  0.989        0.924  0.976  0.947                0.931  0.929  1.003
50  10000 20  25   1.47  3.14  0    1.47          0.971  0.983  0.988        0.958  0.976  0.982                0.939  0.938  1.002
50  10000 25  30   1.47  3.14  0    1.47          0.992  0.995  0.997        0.973  0.984  0.988                0.963  0.977  0.985
50  10000 30  50   1.47  3.14  0    1.47          0.994  0.996  0.998        0.984  0.990  0.994                0.980  0.986  0.995
50  10000 50  10000 1.47 3.14  0    1.47          0.993  0.995  0.998        0.989  0.973  1.017                0.989  0.991  0.999
50  10000 10  15   1.47  3.14  1.47  3.14         0.924  0.958  0.965        0.761  0.951  0.801                0.911  0.940  0.970
50  10000 15  20   1.47  3.14  1.47  3.14         0.928  0.962  0.965        0.897  0.978  0.917                0.907  0.923  0.982
50  10000 20  25   1.47  3.14  1.47  3.14         0.960  0.980  0.979        0.914  0.981  0.932                0.935  0.936  0.999
50  10000 25  30   1.47  3.14  1.47  3.14         0.984  0.990  0.994        1.000  0.985  1.015                0.937  0.953  0.982
50  10000 30  50   1.47  3.14  1.47  3.14         0.981  0.991  0.989        0.968  0.990  0.978                0.971  0.971  0.999
50  10000 50  10000 1.47 3.14  1.47  3.14         0.980  0.987  0.993        0.935  0.939  0.997                0.974  0.979  0.995
